scenario,vix_elevated,vix_stress,yield_tightening_pp,is_baseline,regime,ticker,observations,annualized_return,annualized_volatility,sharpe_ratio_rf0
VIX 25/35; yield 0.25pp,25.0,35.0,0.25,False,Calm / easing,SPY,645,0.12496392687028038,0.13834602891726885,0.903270790266116
VIX 25/35; yield 0.25pp,25.0,35.0,0.25,False,Tightening,GLD,303,0.21265657593130466,0.1406648775052754,1.5117958349150045
VIX 25/35; yield 0.25pp,25.0,35.0,0.25,False,Tightening,IEF,303,0.051698045885146364,0.08175750890387835,0.6323339174378141
VIX 25/35; yield 0.25pp,25.0,35.0,0.25,False,Tightening,SPY,303,0.048751049167793874,0.14711892630960974,0.3313717030886833
VIX 25/35; yield 0.25pp,25.0,35.0,0.25,False,Elevated risk,GLD,155,-0.05738198680841015,0.1760573751332357,-0.3259277651105779
VIX 25/35; yield 0.25pp,25.0,35.0,0.25,False,Elevated risk,IEF,155,-0.10433647482666787,0.10550191885371071,-0.9889533381031785
VIX 25/35; yield 0.25pp,25.0,35.0,0.25,False,Elevated risk,SPY,155,0.09922960072234895,0.2827191074969338,0.3509830007631342
VIX 25/35; yield 0.25pp,25.0,35.0,0.25,False,Stress,GLD,8,0.7552765620218512,0.37373326401439405,2.020897347774648
VIX 25/35; yield 0.25pp,25.0,35.0,0.25,False,Stress,IEF,8,-1.2371331395321923,0.09290791569357316,-13.315691459621993
VIX 25/35; yield 0.25pp,25.0,35.0,0.25,False,Stress,SPY,8,4.522398394232311,0.5992448439905594,7.546829045897568
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Calm / easing,GLD,794,0.25665677387055896,0.1537722717784855,1.6690705736615656
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Calm / easing,IEF,794,0.019441086167474926,0.07228485564241159,0.2689510270816434
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Calm / easing,SPY,794,0.13536073517382718,0.13879307957679224,0.9752700609177997
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Tightening,GLD,154,0.16797980519417866,0.13886742898486873,1.2096415006897123
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Tightening,IEF,154,-0.025678059090051594,0.08477075436146649,-0.3029117681383268
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Tightening,SPY,154,-0.07859170778471682,0.15270439346191447,-0.5146656622182788
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Elevated risk,GLD,155,-0.05738198680841015,0.1760573751332357,-0.3259277651105779
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Elevated risk,IEF,155,-0.10433647482666787,0.10550191885371071,-0.9889533381031785
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Elevated risk,SPY,155,0.09922960072234895,0.2827191074969338,0.3509830007631342
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Stress,GLD,8,0.7552765620218512,0.37373326401439405,2.020897347774648
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Stress,IEF,8,-1.2371331395321923,0.09290791569357316,-13.315691459621993
VIX 25/35; yield 0.50pp,25.0,35.0,0.5,False,Stress,SPY,8,4.522398394232311,0.5992448439905594,7.546829045897568
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Calm / easing,GLD,877,0.24913953237810987,0.15263004106896155,1.6323099347496293
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Calm / easing,IEF,877,0.023130100276879843,0.07281422383179424,0.3176590926837582
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Calm / easing,SPY,877,0.12664746010321065,0.13924931373025032,0.9095015028120598
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Tightening,GLD,71,0.15716899376795673,0.13608142548868055,1.154962870234118
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Tightening,IEF,71,-0.12399009331995042,0.09211027696612017,-1.3461048799750783
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Tightening,SPY,71,-0.22107777156821665,0.16255417827327842,-1.3600251554072706
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Elevated risk,GLD,155,-0.05738198680841015,0.1760573751332357,-0.3259277651105779
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Elevated risk,IEF,155,-0.10433647482666787,0.10550191885371071,-0.9889533381031785
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Elevated risk,SPY,155,0.09922960072234895,0.2827191074969338,0.3509830007631342
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Stress,GLD,8,0.7552765620218512,0.37373326401439405,2.020897347774648
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Stress,IEF,8,-1.2371331395321923,0.09290791569357316,-13.315691459621993
VIX 25/35; yield 0.75pp,25.0,35.0,0.75,False,Stress,SPY,8,4.522398394232311,0.5992448439905594,7.546829045897568
